2019-09-18 13:07:37,052  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,053  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,053  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,053  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,053  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,053  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,053  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,053  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,053  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,054  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,054  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,054  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,054  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,054  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,054  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,054  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,054  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,055  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,055  root       WARNING Missing value for [extension] in config, return default value None
2019-09-18 13:07:37,055  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-18 13:07:37,055  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,055  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,055  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,055  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,055  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,056  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,056  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,056  root       WARNING Missing value for [extension] in config, return default value None
2019-09-18 13:07:37,056  root       WARNING Missing value for [subdirs] in config, return default value False
2019-09-18 13:07:37,056  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,056  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,056  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,056  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,057  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,057  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,057  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,057  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,057  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,057  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,057  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,057  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,058  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,058  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,058  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,058  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,058  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,058  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,058  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,058  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,059  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,059  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,059  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,059  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,059  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,059  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,059  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,059  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,060  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,060  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,060  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,060  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,060  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,060  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,060  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,060  root       WARNING Missing value for [postquestionprocessors_storage] in config, return default value None
2019-09-18 13:07:37,061  root       WARNING Missing value for [dirs] in config, return default value
2019-09-18 13:07:37,061  root       WARNING Missing value for [format] in config, return default value None
2019-09-18 13:07:37,061  root       WARNING Missing value for [encoding] in config, return default value None
2019-09-18 13:07:37,061  root       WARNING Missing value for [delete_on_start] in config, return default value False
2019-09-18 13:07:37,061  root       WARNING Missing value for [triggers_storage] in config, return default value None
2019-09-18 13:07:37,061  root       WARNING Missing value for [renderer] in config, return default value None
2019-09-18 13:07:37,061  root       WARNING 'email' section missing from bot config, using defaults
2019-09-18 13:07:37,062  root       WARNING 'triggers' section missing from client config, using defaults
2019-09-18 13:07:37,062  root       WARNING 'responder' section missing from client config, using defaults
2019-09-18 13:07:37,062  root       DEBUG   Loading Storage Factory
2019-09-18 13:07:37,062  root       DEBUG   Loading nodes from file [storage\nodes\pattern_nodes.conf]
2019-09-18 13:07:37,063  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.root.PatternRootNode]
2019-09-18 13:07:37,063  root       DEBUG   Processor path [programy.parser.pattern.nodes.root.PatternRootNode]
2019-09-18 13:07:37,063  root       DEBUG   Importing module [programy.parser.pattern.nodes.root]
2019-09-18 13:07:37,065  root       DEBUG   Instantiating class [PatternRootNode]
2019-09-18 13:07:37,065  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.word.PatternWordNode]
2019-09-18 13:07:37,065  root       DEBUG   Processor path [programy.parser.pattern.nodes.word.PatternWordNode]
2019-09-18 13:07:37,066  root       DEBUG   Importing module [programy.parser.pattern.nodes.word]
2019-09-18 13:07:37,067  root       DEBUG   Instantiating class [PatternWordNode]
2019-09-18 13:07:37,067  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.priority.PatternPriorityWordNode]
2019-09-18 13:07:37,067  root       DEBUG   Processor path [programy.parser.pattern.nodes.priority.PatternPriorityWordNode]
2019-09-18 13:07:37,067  root       DEBUG   Importing module [programy.parser.pattern.nodes.priority]
2019-09-18 13:07:37,068  root       DEBUG   Instantiating class [PatternPriorityWordNode]
2019-09-18 13:07:37,068  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.oneormore.PatternOneOrMoreWildCardNode]
2019-09-18 13:07:37,069  root       DEBUG   Processor path [programy.parser.pattern.nodes.oneormore.PatternOneOrMoreWildCardNode]
